hotel_id,hotel_name,hotel_caption,image_uri
yad312600,亀島川温泉　新川の湯　ドーミーイン東京八丁堀,"全館、全室Wi-Fi接続無料♪東京駅、上野、秋葉原、銀座、築地、舞浜すべて乗り換えなしのアクセス抜群!！ディズニーＲ、ビックサイトへも便利♪大浴場：男女別天然温泉大浴場完備(2F) サウナ・外気湯付
 
 【早割48】早期予約★割引プラン♪≪素泊まり≫
 
 
 【素泊り】癒しのシンプルステイプラン♪天然温泉大浴場完備
 
 
 【早割7】早期予約★割引プラン♪《素泊り》
 ",https://cdn.jalan.jp/jalan/images/pictM/Y0/Y312600/Y312600408.jpg
yad348123,伝馬の湯　ドーミーインＰＲＥＭＩＵＭ東京小伝馬町,"江戸文化の「粋」を随所に感じ取れる和モダンスタイル
ビジネスにも観光にも適した多彩な客室タイプ
小伝馬町・日本橋エリア初！最上階超軟水大浴場完備
朝食は約50種を揃えたこだわりの和洋バイキング

 
 【素泊り】癒しのシンプルステイ♪都会の真ん中で大浴場を満喫
 
 
 【連泊割】2泊〜3泊のご宿泊の方限定プラン☆【素泊り】
 
 
 【清掃不要のお客様限定】2泊・3泊限定★WeCo連泊プラン【素泊り】
 ",https://cdn.jalan.jp/jalan/images/pictM/Y3/Y348123/Y348123326.jpg
yad331507,ホテルインターゲート東京京橋,"このホテルだけの、ラウンジサービスが魅力！体に優しいスムージー（6：00〜7：00）やオリジナルカクテル（17：00〜19：00）。〆お夜食のお茶漬け（21：00〜23：00）多彩なメニューをご用意しております。
 
 ★じゃらん本誌掲載中★【開業記念プラン】2018年4月グランドオープン！今だけ室数限定＜素泊り＞
 
 
 【早割６０／素泊り】60日前迄の早期予約15％OFF！2018年4月OPEN 最高の朝をお届けする新コンセプトホテル
 
 
 ショートステイ19-10／素泊り　ラウンジサービス充実の新ブランドホテル
 ",https://cdn.jalan.jp/jalan/images/pictM/Y7/Y331507/Y331507103.jpg
yad339708,ベルケンホテル・神田,"東京神田にハイエンドバジェットホテルBelkenがオープン！
ビジネス、観光にも便利な地下鉄・淡路町駅から徒歩1分♪♪♪


 
 【2018年6月9日グランドオープン♪】早割１４日前プラン〜素泊まり〜
 
 
 【2018年6月9日グランドオープン♪】ベストプライス〜素泊まり〜
 
 
 【2018年6月9日グランドオープン♪】早割７日前プラン〜素泊まり〜
 ",https://cdn.jalan.jp/jalan/images/pictM/Y8/Y339708/Y339708034.jpg
yad354033,ファーストキャビン（ＦＩＲＳＴ　ＣＡＢＩＮ）秋葉原,"『コンパクト＆ラグジュアリー』をコンセプトに飛行機のファーストクラスをイメージしたコンパクトホテル※簡易宿所のため各キャビン（部屋）に鍵はかかりません◆宿泊当日朝からお荷物預かり可能です◆
 
 【男性専用】ベストレートプラン
 
 
 【女性専用】ベストレートプラン
 
 
 【女性専用】金・土２連泊☆アキバ前乗りプラン【2連泊】
 ",https://cdn.jalan.jp/jalan/images/pictM/Y3/Y354033/Y354033084.jpg
yad303873,ホテルメトロポリタン丸の内,"贅沢なロケーションの“天空ホテル”。静かな安らぎ空間でゆったりとお寛ぎください。
 
 【訳あり】消臭ルームプラン
 
 
 【JR東京駅直結】全室27階以上の高層ステイ！WEB料金プラン（12時チェックアウト）
 
 
 【訳あり】消臭ルームプラン
 ",https://cdn.jalan.jp/jalan/images/pictM/Y3/Y303873/Y303873847.jpg
yad328995,ニューセントラルホテル,"JR神田駅から徒歩2分・東京駅から1駅の好立地
全室で有線・Wi-Fi インターネット接続無料
男女大浴場（ サウナ付）完備。コインランドリーあり

■■シングル(バスなし・トイレ付）9㎡　朝食無料■■
 
 シングル喫煙ルーム（素泊まりプラン）
 
 
 シングル禁煙ルーム(素泊まりプラン)
 ",https://cdn.jalan.jp/jalan/images/pictM/Y5/Y328995/Y328995056.jpg
yad311347,丸ノ内ホテル,"東京駅丸の内北口徒歩1分、地下鉄大手町駅からは地下通路直結。
デザインコンセプトは、居心地のよさを追求したモダンジャパニズム。
東京駅前であることを忘れる、大人の静寂をめざしました。
 
 【じゃらん限定】〜じゃらんバザール☆素泊りプラン〜 （食事なし）
 
 
 【丸ノ内ホテル×スタンダード】〜素泊りプラン〜 （食事なし）
 
 
 【丸ノ内ホテル×アドバンス30】〜30日前までの早期予約プライス〜 （食事なし）
 ",https://cdn.jalan.jp/jalan/images/pictM/Y7/Y311347/Y311347227.jpg
yad377788,明神の湯　ドーミーインＰＲＥＭＩＵＭ神田,"最上階にサウナ付男女別超軟水大浴場
ご朝食は名物『蕎麦・天ぷら』のバイキング♪
湯上り処SOLA（ご宿泊者様は生ビール1杯無料）
全室禁煙！喫煙ブースフロア有
徒歩5分圏内で6駅8路線乗入れ可能
 
 【早割48】48日前早割プラン≪素泊り≫
 
 
 【素泊まり】癒しのシンプルステイプラン♪男女別超軟水大浴場完備
 
 
 【早割14】14日前早割プラン≪素泊り≫
 ",https://cdn.jalan.jp/jalan/images/pictM/Y8/Y377788/Y377788197.jpg
yad352593,三井ガーデンホテル大手町（２０１８年６月１７日オープン）,"Urban Oasisをコンセプトにデザインされた木や緑あふれる空間が、上質なやすらぎをお届けします。全室禁煙・Wi-Fi接続無料！1階にはこだわりコーヒー等をお楽しみいただけるベーカリーカフェも。
 
 【2018年6月OPEN】　STANDARD　PLAN <食事なし>
 
 
 【2018年6月OPEN】 <連泊割> 長期滞在におすすめ 〜2連泊以上でお得にステイ〜
 
 
 【東京エリア合同】SABONオリジナルアメニティセット付プラン
 ",https://cdn.jalan.jp/jalan/images/pictM/Y3/Y352593/Y352593033.jpg
